Methode,k,Silhouette,Calinski-Harabasz,Davies-Bouldin
K-means (original),9,0.4260557633620448,34.53534515980495,0.5940516051803932
CAH Ward,9,0.4260557633620448,34.53534515980495,0.5940516051803932
K-means (ACP),6,0.6423839702649007,147.88749499505408,0.345216388832506
GMM (full),7,0.3759674836450338,29.22180268593739,0.6379927557145606
DBSCAN,5,0.670502277514468,92.1942384911921,0.33444814346242835
