Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,Year,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
2017-12-31,LRCX US Equity,5.3,2.08,4.81,Lam Research,LRCX,-0.040292397804186,2017,0.2296983758700697,0.1428571428571428,0.08823529411764697,-26.260890047910586,0
2017-12-31,NVDA US Equity,6.52,3.81,5.77,NVIDIA,NVDA,-0.0359224234862459,2017,0.006172839506172645,0.09169054441260749,0.019434628975264934,-1.22778920336969,0
2017-12-31,9984 JP Equity,1.84,1.91,2.53,SoftBank,9984.T,-0.0595677166481893,2017,0.0,0.12352941176470589,0.054166666666666696,-1.3796949114558488,0
2017-12-31,MSFT US Equity,6.2,0.89,4.15,Microsoft,MSFT,0.0162766027063743,2017,-0.05343511450381677,0.4126984126984128,0.014669926650366927,-0.4782854169935866,0
2017-12-31,TSLA US Equity,1.65,4.31,3.36,Tesla,TSLA,0.0080945133389347,2017,0.0,0.38585209003215426,0.09803921568627438,-0.9368834527697022,1
2017-12-31,TSM US Equity,4.0,2.85,3.87,TSMC,TSM,0.0012627867814229,2017,0.10192837465564741,-0.21703296703296704,-0.01526717557251911,-1.0398853837682134,0
2017-12-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.0097388686223884,2017,0.3393501805054151,0.10377358490566024,0.17948717948717952,-0.825579266548699,1
2017-12-31,GOOGL US Equity,3.36,0.99,2.69,Alphabet (Google),GOOGL,0.0166284343690512,2017,0.08387096774193536,0.33783783783783794,0.08467741935483875,-0.22138892522558895,1
2017-12-31,META US Equity,5.85,1.32,3.46,Meta Platforms,META,-0.0040634394687488,2017,0.5940054495912805,0.6097560975609757,0.2910447761194028,-0.8572124191481513,1
2017-12-31,CLS CN Equity,2.92,1.72,3.23,Celestica,CLS,-0.0332103879413339,2017,0.06959706959706957,0.029940119760479167,0.03858520900321549,0.3902557725645692,0
