k,inertia,silhouette
2,5870.749938706197,0.3633685489026651
3,4218.465997123812,0.3276049572864197
4,3524.1635513750916,0.33222849836590607
5,3128.740297065766,0.3054759990147771
6,2804.7509808131426,0.27184625492440717
7,2546.327515176039,0.26206041961744364
8,2335.010113000498,0.2659333189678767
