k,inertia,silhouette
2,469.61911350490357,0.37747561196120255
3,335.58501197345424,0.3575979710289629
4,253.9988080475253,0.3759407137599299
5,218.00583782869697,0.3532700152523212
6,187.51947726416222,0.35270188478166725
7,161.30972823308804,0.294746211976192
8,142.92946560457898,0.3109200184237897
