Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
MU,2017,2017-12-31,MU US Equity,2.38,2.53,3.72,Micron Technology,0.8759128728934551,0.0,0.0,0.0,0.5983166139937464,0
AMZN,2017,2017-12-31,AMZN US Equity,0.31,2.47,2.42,Amazon,0.5595636491351448,0.0,0.9603174603174605,0.28042328042328046,4.112237405036844,1
CLS,2017,2017-12-31,CLS CN Equity,2.73,1.67,3.11,Celestica,-0.1156118814456511,0.12345679012345667,0.08441558441558428,0.06143344709897591,-2.555119528025723,0
TSLA,2017,2017-12-31,TSLA US Equity,1.65,3.11,3.06,Tesla,0.4570171108421774,0.0,0.0,0.0,-5.167501690999163,0
GOOGL,2017,2017-12-31,GOOGL US Equity,3.1,0.74,2.48,Alphabet (Google),0.3292952407189509,-0.21717171717171713,0.04225352112676051,-0.10144927536231874,16.74200138582695,0
TSM,2017,2017-12-31,TSM US Equity,3.63,3.64,3.93,TSMC,0.4240658211059434,0.0,0.0,0.0,0.36281474531328795,0
AMD,2017,2017-12-31,AMD US Equity,6.78,3.8,5.78,AMD,-0.09347446255323,0.18324607329842935,0.2624584717607974,0.13333333333333353,-1.0316731627358702,0
LRCX,2017,2017-12-31,LRCX US Equity,4.31,1.82,4.42,Lam Research,0.7620692755933398,0.0,0.0,0.0,1.1662806958084446,0
META,2017,2017-12-31,META US Equity,3.67,0.82,2.68,Meta Platforms,0.5337678998944122,0.39015151515151514,0.06493506493506485,0.17543859649122817,4.376715221505955,0
NVDA,2017,2017-12-31,NVDA US Equity,6.52,3.81,5.77,NVIDIA,0.8198789192981857,0.006172839506172645,0.09169054441260749,0.019434628975264934,-0.6387566220617826,0
MSFT,2017,2017-12-31,MSFT US Equity,6.55,0.63,4.09,Microsoft,0.4073060776575088,0.0,0.0,0.0,1.701373214399827,0
MSFT,2018,2018-12-31,MSFT US Equity,6.0,0.91,4.11,Microsoft,0.2079530715345865,-0.08396946564885499,0.4444444444444444,0.004889975550122383,-0.4894427484839844,0
TSLA,2018,2018-12-31,TSLA US Equity,1.65,4.31,3.36,Tesla,0.0688935444900336,0.0,0.38585209003215426,0.09803921568627438,-0.8492539056949561,0
CLS,2018,2018-12-31,CLS CN Equity,2.92,1.72,3.23,Celestica,-0.1631678586989479,0.06959706959706957,0.029940119760479167,0.03858520900321549,0.41134160830738464,0
NVDA,2018,2018-12-31,NVDA US Equity,6.91,5.75,6.51,NVIDIA,-0.3081524550083014,0.059815950920245387,0.5091863517060367,0.12824956672443677,-1.3758511747955162,1
LRCX,2018,2018-12-31,LRCX US Equity,5.3,2.08,4.81,Lam Research,-0.2440080843182409,0.2296983758700697,0.1428571428571428,0.08823529411764697,-1.320191473574707,0
GOOGL,2018,2018-12-31,GOOGL US Equity,3.29,1.64,3.08,Alphabet (Google),-0.0080121369699972,0.06129032258064515,1.2162162162162162,0.24193548387096775,-1.0243311654079916,1
META,2018,2018-12-31,META US Equity,5.85,1.32,3.46,Meta Platforms,-0.257112211476889,0.5940054495912805,0.6097560975609757,0.2910447761194028,-1.4816929072125729,1
MU,2018,2018-12-31,MU US Equity,3.99,3.34,4.6,Micron Technology,-0.2283559636331793,0.6764705882352944,0.32015810276679857,0.23655913978494603,-1.2607062536697713,1
TSM,2018,2018-12-31,TSM US Equity,4.0,2.85,3.87,TSMC,-0.0350581586982823,0.10192837465564741,-0.21703296703296704,-0.01526717557251911,-1.0826715027559928,0
AMD,2018,2018-12-31,AMD US Equity,6.85,4.64,6.23,AMD,0.795719801943733,0.010324483775811188,0.2210526315789474,0.07785467128027679,-9.512697267348312,0
000660.KS,2018,2018-12-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,-0.1889067175774774,0.3393501805054151,0.10377358490566024,0.17948717948717952,-1.2570672332353905,0
AMZN,2018,2018-12-31,AMZN US Equity,0.35,2.47,2.46,Amazon,0.2843168959316702,0.12903225806451601,0.0,0.016528925619834656,-0.49189534314620476,0
6857.T,2018,2018-12-31,6857 JP Equity,6.07,2.58,4.75,Advantest,0.1068185097656515,0.1261595547309835,0.5925925925925926,0.27005347593582885,0.4517986195081407,1
9984.T,2018,2018-12-31,9984 JP Equity,1.84,1.91,2.52,SoftBank,-0.1772083802239661,0.0,0.0,-0.0039525691699603405,-2.1451194671391036,0
META,2019,2019-12-31,META US Equity,5.76,1.41,3.5,Meta Platforms,0.565718316482483,-0.01538461538461533,0.06818181818181812,0.011560693641618602,-3.20027789902672,0
MPWR,2019,2019-12-31,MPWR US Equity,1.44,2.15,2.76,Monolithic Power Systems,0.5480043371486438,0.014084507042253502,0.3271604938271604,0.05343511450381677,11.216130232552157,0
CLS,2019,2019-12-31,CLS CN Equity,3.37,2.44,3.7,Celestica,-0.0570125397835497,0.15410958904109595,0.4186046511627908,0.14551083591331282,-0.6505896428490833,1
MSFT,2019,2019-12-31,MSFT US Equity,5.79,0.91,4.02,Microsoft,0.5755812203176092,-0.03500000000000003,0.0,-0.021897810218978297,1.7678418792764945,0
TSLA,2019,2019-12-31,TSLA US Equity,1.95,4.34,3.5,Tesla,0.2570011888547681,0.18181818181818188,0.006960556844547661,0.04166666666666674,2.7304103128551738,0
TSM,2019,2019-12-31,TSM US Equity,4.02,2.83,4.19,TSMC,0.6484191324553719,0.004999999999999893,-0.007017543859649145,0.08268733850129206,-19.495527333189397,0
LRCX,2019,2019-12-31,LRCX US Equity,5.4,4.94,5.96,Lam Research,1.1933347264085516,0.018867924528301883,1.375,0.23908523908523915,-5.890554055791764,1
6857.T,2019,2019-12-31,6857 JP Equity,6.19,2.59,4.84,Advantest,1.8154212153832852,0.01976935749588149,0.003875968992248069,0.0189473684210526,15.995380476343726,0
MU,2019,2019-12-31,MU US Equity,3.79,4.39,5.08,Micron Technology,0.6949255210330174,-0.05012531328320802,0.3143712574850299,0.10434782608695659,-4.043167824376658,0
NVDA,2019,2019-12-31,NVDA US Equity,6.88,5.76,6.46,NVIDIA,0.7694302746386656,-0.00434153400868309,0.0017391304347824654,-0.007680491551459223,-3.4969143102167974,0
AMD,2019,2019-12-31,AMD US Equity,6.85,4.64,6.23,AMD,1.4842905138021374,0.0,0.0,0.0,0.8653431901234683,0
