Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,ESG_Quartile,Cluster_KMeans,Cluster_DBSCAN,Year,Period
2018-04-30,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.0393605435447652,Q2,1,0,2018,pre2020
2018-05-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.1053252088771754,Q2,1,0,2018,pre2020
2018-06-30,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.0824410672971898,Q2,1,0,2018,pre2020
2018-07-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.0070009864336735,Q2,1,0,2018,pre2020
2018-08-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.0382385716752968,Q2,1,0,2018,pre2020
2018-09-30,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.1192769963191895,Q2,1,0,2018,pre2020
2018-10-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.0670316152961097,Q2,1,0,2018,pre2020
2018-11-30,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.0205278368378296,Q2,1,0,2018,pre2020
2018-12-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.1084964024473712,Q2,1,0,2018,pre2020
2019-01-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.2214874542148051,Q2,1,-1,2019,pre2020
2019-02-28,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.0527742272492984,Q2,1,0,2019,pre2020
2019-03-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.0600003238281767,Q2,1,0,2019,pre2020
2019-04-30,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.0646900330537723,Q2,1,0,2019,pre2020
2019-05-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.1734178520057111,Q2,1,0,2019,pre2020
2019-06-30,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.0643186742805979,Q2,1,0,2019,pre2020
2019-07-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.1064746910017417,Q2,1,0,2019,pre2020
2019-08-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.0065020157493416,Q2,1,0,2019,pre2020
2019-09-30,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.0620155139661597,Q2,1,0,2019,pre2020
2019-10-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.00243327764562,Q2,1,0,2019,pre2020
2019-11-30,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.0134146472565765,Q2,1,0,2019,pre2020
2019-12-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.1755652697579914,Q2,1,0,2019,pre2020
2020-01-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.0063762483535005,Q2,1,0,2020,post2020
2020-02-29,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.0598930735939966,Q2,1,0,2020,post2020
2020-03-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.0523322868488848,Q2,1,0,2020,post2020
2020-04-30,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.0048019946332702,Q2,1,0,2020,post2020
2020-05-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.0262845031307994,Q2,1,0,2020,post2020
2020-06-30,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.044171748875907,Q2,1,0,2020,post2020
2020-07-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.0270269821771755,Q2,1,0,2020,post2020
2020-08-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.0929949755791738,Q2,1,0,2020,post2020
2020-09-30,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.1185084421500017,Q2,1,0,2020,post2020
2020-10-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.0488094609420475,Q2,1,0,2020,post2020
2020-11-30,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.2202755048805342,Q2,1,0,2020,post2020
2020-12-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.2278219988472465,Q3,1,0,2020,post2020
2021-01-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.0337554666240327,Q3,1,0,2021,post2020
2021-02-28,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.1551020399943856,Q3,1,0,2021,post2020
2021-03-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.0636044020924931,Q3,1,0,2021,post2020
2021-04-30,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.0339622323017285,Q3,1,0,2021,post2020
2021-05-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.0078123996235996,Q3,1,0,2021,post2020
2021-06-30,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.0039369245189819,Q3,1,0,2021,post2020
2021-07-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.117647028473967,Q3,1,0,2021,post2020
2021-08-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.0533333762138913,Q3,1,0,2021,post2020
2021-09-30,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.0328637747304647,Q3,1,0,2021,post2020
2021-10-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.0,Q3,1,0,2021,post2020
2021-11-30,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.1067960126440044,Q3,1,0,2021,post2020
2021-12-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.1631721301873825,Q3,1,0,2021,post2020
2022-01-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.080152744418137,Q3,1,0,2022,post2020
2022-02-28,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.0207469886698183,Q3,1,0,2022,post2020
2022-03-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.0382459731799824,Q3,1,0,2022,post2020
2022-04-30,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.0466101918969722,Q3,1,0,2022,post2020
2022-05-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.0399999481394786,Q3,1,0,2022,post2020
2022-06-30,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.1547467755617509,Q3,1,0,2022,post2020
2022-07-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.0758243869114996,Q3,1,0,2022,post2020
2022-08-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.0275792732382327,Q3,1,0,2022,post2020
2022-09-30,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.1238638721110242,Q3,1,0,2022,post2020
2022-10-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.0048135081548206,Q3,1,0,2022,post2020
2022-11-30,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.0278116159645309,Q3,1,0,2022,post2020
2022-12-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,-0.1141961004269812,Q3,0,1,2022,post2020
2023-01-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,0.1800001368149313,Q3,0,1,2023,post2020
2023-02-28,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,0.0101694497656283,Q3,0,1,2023,post2020
2023-03-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,-0.005515243902439,Q3,0,1,2023,post2020
2023-04-30,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,0.0101579785354917,Q3,0,1,2023,post2020
2023-05-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,0.2134077278794153,Q3,0,1,2023,post2020
2023-06-30,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,0.0635651490107025,Q3,0,1,2023,post2020
2023-07-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,0.0711805442681448,Q3,0,1,2023,post2020
2023-08-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,-0.0129660380175175,Q3,0,1,2023,post2020
2023-09-30,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,-0.0558713514432187,Q3,0,1,2023,post2020
2023-10-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,0.0139494280487137,Q3,0,1,2023,post2020
2023-11-30,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,0.1513328405428822,Q3,0,1,2023,post2020
2023-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.0590135721113902,Q3,1,0,2023,post2020
2024-01-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.0480564943253467,Q3,1,0,2024,post2020
2024-02-29,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.159613876954866,Q3,1,0,2024,post2020
2024-03-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.1735176838543992,Q3,1,0,2024,post2020
2024-04-30,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.0480872749021317,Q3,1,0,2024,post2020
2024-05-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.086107746808417,Q3,1,0,2024,post2020
2024-06-30,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.2515843535949482,Q3,1,0,2024,post2020
2024-07-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.1771670055404288,Q3,1,0,2024,post2020
2024-08-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.1073997938237326,Q3,1,0,2024,post2020
2024-09-30,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.0068510349662447,Q3,1,0,2024,post2020
2024-10-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.0670103297874669,Q3,1,0,2024,post2020
2024-11-30,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.1417068758689277,Q3,1,0,2024,post2020
2024-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.0875547511562417,Q3,1,0,2024,post2020
2025-01-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.1454858533353222,Q3,1,0,2025,post2020
2025-02-28,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.0390076023256932,Q3,1,0,2025,post2020
2025-03-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.0026287777803986,Q3,1,0,2025,post2020
2025-04-30,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.06921874592554,Q3,1,0,2025,post2020
2025-05-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.1541936145278946,Q3,1,0,2025,post2020
2025-06-30,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.4278727726445412,Q3,0,-1,2025,post2020
2025-07-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.0633561583230952,Q3,1,0,2025,post2020
2025-08-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.0150327683501959,Q3,1,0,2025,post2020
2025-09-30,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.2918216674364633,Q3,1,0,2025,post2020
2025-10-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.6086330487231779,Q3,0,-1,2025,post2020
2025-11-30,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,-0.051199320980948,Q3,1,0,2025,post2020
2025-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.2283018867924529,Q3,1,0,2025,post2020
2026-01-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.3225806451612902,Q3,1,-1,2026,post2020
2016-02-29,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,-0.066063456699698,Q2,1,2,2016,pre2020
2016-03-31,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.01842026666623,Q2,1,2,2016,pre2020
2016-04-30,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.0182514812117262,Q2,1,2,2016,pre2020
2016-05-31,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.1632076513092533,Q2,1,2,2016,pre2020
2016-06-30,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,-0.0794807516356023,Q2,1,2,2016,pre2020
2016-07-31,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.2088105193144127,Q2,1,-1,2016,pre2020
2016-08-31,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.1290086881954248,Q2,1,2,2016,pre2020
2016-09-30,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,-0.1220142333432402,Q2,1,2,2016,pre2020
2016-10-31,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.1051469011563999,Q2,1,2,2016,pre2020
2016-11-30,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.031936169417132,Q2,1,2,2016,pre2020
2016-12-31,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.2688589665244623,Q2,1,-1,2016,pre2020
2017-01-31,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,0.0726624197430145,Q2,1,2,2017,pre2020
2017-02-28,6857 JP Equity,5.39,1.62,3.74,Advantest,6857.T,-0.0648979659790141,Q2,1,2,2017,pre2020
2017-03-31,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,0.0599950586752289,Q3,1,0,2017,pre2020
2017-04-30,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,0.0004806950482478,Q3,1,0,2017,pre2020
2017-05-31,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,-0.0490148654070984,Q3,1,0,2017,pre2020
2017-06-30,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,-0.0288025359463388,Q3,1,0,2017,pre2020
2017-07-31,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,0.0546308278779805,Q3,1,0,2017,pre2020
2017-08-31,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,-0.095708147079871,Q3,1,0,2017,pre2020
2017-09-30,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,0.1534696846093304,Q3,0,0,2017,pre2020
2017-10-31,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,0.2204275277143674,Q3,0,0,2017,pre2020
2017-11-30,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,-0.130011648123513,Q3,1,0,2017,pre2020
2017-12-31,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,-0.0644295303671317,Q3,1,0,2017,pre2020
2018-01-31,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,0.1104735762467024,Q3,1,0,2018,pre2020
2018-02-28,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,-0.0236867859594444,Q3,1,0,2018,pre2020
2018-03-31,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,-0.0067997435285933,Q3,1,0,2018,pre2020
2018-04-30,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,0.1754148791856877,Q3,0,0,2018,pre2020
2018-05-31,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,-0.0240457755297178,Q3,1,0,2018,pre2020
2018-06-30,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,-0.0973798070474524,Q3,1,0,2018,pre2020
2018-07-31,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,0.1455806358377054,Q3,0,0,2018,pre2020
2018-08-31,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,0.0075643786139714,Q3,1,0,2018,pre2020
2018-09-30,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,-0.0828554215025907,Q3,1,0,2018,pre2020
2018-10-31,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,-0.1303803353991873,Q3,1,0,2018,pre2020
2018-11-30,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,0.1705910588990675,Q3,0,0,2018,pre2020
2018-12-31,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,-0.0788177080094256,Q3,1,0,2018,pre2020
2019-01-31,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,0.1020498644166696,Q3,0,0,2019,pre2020
2019-02-28,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,0.0630813661196685,Q3,0,0,2019,pre2020
2019-03-31,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,-0.0049112380190644,Q3,0,0,2019,pre2020
2019-04-30,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.2203651387650902,Q3,0,0,2019,pre2020
2019-05-31,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,-0.1875792950579744,Q3,0,-1,2019,pre2020
2019-06-30,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.1622891203216392,Q3,0,0,2019,pre2020
2019-07-31,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.4401349551629228,Q3,0,-1,2019,pre2020
2019-08-31,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.0222481294974674,Q3,0,0,2019,pre2020
2019-09-30,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.1034735310241594,Q3,0,0,2019,pre2020
2019-10-31,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.0356022599779108,Q3,0,0,2019,pre2020
2019-11-30,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.0819010794890329,Q3,0,0,2019,pre2020
2019-12-31,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.151401768498345,Q3,0,0,2019,pre2020
2020-01-31,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,-0.0470780706338829,Q3,0,0,2020,post2020
2020-02-29,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,-0.162691498264854,Q3,0,0,2020,post2020
2020-03-31,6857 JP Equity,6.46,5.14,6.01,Advantest,6857.T,-0.1087587966658156,Q4,0,0,2020,post2020
